,z,1mpcbkgd,halfmpcbkgd,tenthmpcbkgd
0,0.05,11.503934568451294,10.760906640097964,-inf
1,0.060000000000000005,11.490970375097149,10.707754187326266,-inf
2,0.07,11.482182604774437,10.713050370274448,-inf
3,0.08000000000000002,11.514155157959173,10.713349545769422,-inf
4,0.09000000000000001,11.539195625723368,10.773749757267119,-inf
5,0.1,11.544830684340571,10.784430275367825,-inf
6,0.11000000000000001,11.52563241782293,10.769016996614392,-inf
7,0.12000000000000001,11.514656744565123,10.756916125568626,-inf
8,0.13,11.538342219196274,10.76469442284884,-inf
9,0.14,11.573593564763595,10.82632558794749,-inf
10,0.15000000000000002,11.622829009171369,10.854201716330667,-inf
11,0.16000000000000003,11.653929035801116,10.892781633878796,-inf
12,0.17000000000000004,11.68120043619786,10.92430124179899,-inf
13,0.18000000000000005,11.730137299462367,10.96805893882875,-inf
14,0.19,11.751333500636271,10.980313924979438,-inf
15,0.2,11.771075875130482,11.018098136508819,-inf
16,0.21000000000000002,11.790436614312878,11.082763551803014,-inf
17,0.22000000000000003,11.804505992364497,11.093670958041702,-inf
18,0.23000000000000004,11.830946003881586,11.12101084107116,-inf
19,0.24000000000000005,11.8360027227841,11.125703868539452,-inf
20,0.25000000000000006,11.834304709560335,11.134556876351567,-inf
21,0.26000000000000006,11.839531364520083,11.145471259718057,-inf
22,0.27,11.853531184165522,11.16707450704921,-inf
23,0.28,11.87065951621538,11.175433218785322,-inf
24,0.29000000000000004,11.872231188515933,11.15307194204308,-inf
25,0.30000000000000004,11.89746705516557,11.182316760924373,-inf
26,0.31000000000000005,11.919240388176311,11.209447703679274,-inf
27,0.32000000000000006,11.930892898523862,11.219997388092015,-inf
28,0.33,11.934515021229362,11.222996732604114,-inf
29,0.34,11.926718019317416,11.223544108810877,-inf
30,0.35000000000000003,11.922078821514518,11.212720813683127,-inf
31,0.36000000000000004,11.91831143175903,11.19825938997137,-inf
32,0.37000000000000005,11.902904464354704,11.165761543755847,-inf
33,0.38000000000000006,11.890597307763436,11.14852910685228,-inf
34,0.39000000000000007,11.885521835583225,11.147312603767134,-inf
35,0.4000000000000001,11.875747519939148,11.133843959621395,-inf
36,0.4100000000000001,11.867040736179739,11.122730649077933,-inf
37,0.42000000000000004,11.847048179664391,11.107299997769289,-inf
38,0.43000000000000005,11.831739614496541,11.110823115539809,-inf
39,0.44000000000000006,11.824690566111153,11.098104313787708,-inf
40,0.45000000000000007,11.817491516763464,11.084046692334208,-inf
41,0.4600000000000001,11.808036142460884,11.079822866475084,-inf
42,0.4700000000000001,11.798987470906194,11.048039811679416,-inf
43,0.4800000000000001,11.782637097401803,11.034874167305976,-inf
44,0.49000000000000005,11.77632307218443,11.025388030920007,-inf
45,0.5000000000000001,11.76946384861592,10.989999524309148,-inf
46,0.5100000000000001,11.743598458619825,10.9509149232706,-inf
47,0.5200000000000001,11.71877520962698,10.934414209371269,-inf
48,0.5300000000000001,11.69905350849477,10.905930185245337,-inf
49,0.5400000000000001,11.68391266459776,10.886805266336815,-inf
50,0.5500000000000002,11.684562634057965,10.875691656716262,-inf
51,0.5600000000000002,11.678006616137223,10.86016475861553,-inf
52,0.5700000000000002,11.668625500481422,10.862153937546193,-inf
53,0.5800000000000002,11.66031573944614,10.838802968436648,-inf
54,0.5900000000000002,11.64579723310095,10.808682724085056,-inf
55,0.6000000000000002,11.647668187203733,10.7885910430354,-inf
56,0.6100000000000001,11.629287405058548,10.763866918032248,-inf
57,0.6200000000000001,11.61715402257514,10.74768149029968,-inf
58,0.6300000000000001,11.592435177971238,10.721131158213707,-inf
59,0.6400000000000001,11.575150607715539,10.654663470689467,-inf
60,0.6500000000000001,11.560102769043588,10.579533691464105,-inf
61,0.6600000000000001,11.54236501427004,10.57904331552654,-inf
62,0.6700000000000002,11.533132547662198,10.504058755877038,-inf
63,0.6800000000000002,11.503654803597993,10.377764191324042,-inf
64,0.6900000000000002,11.485820170667907,10.226876703235831,-inf
65,0.7000000000000002,11.47140712210787,10.152722457133365,-inf
66,0.7100000000000002,11.451024134902344,10.094486986317985,-inf
67,0.7200000000000002,11.444902401403105,9.844866687721662,-inf
68,0.7300000000000002,11.433689455786332,9.531310656748843,-inf
69,0.7400000000000002,11.416979710598852,-inf,-inf
70,0.7500000000000002,11.403660791112047,-inf,-inf
71,0.7600000000000002,11.395094390689989,-inf,-inf
72,0.7700000000000002,11.383913003668654,-inf,-inf
73,0.7800000000000001,11.369789833868776,-inf,-inf
74,0.7900000000000001,11.32514574477485,-inf,-inf
75,0.8000000000000002,11.309651370762722,-inf,-inf
76,0.8100000000000002,11.272597473131208,-inf,-inf
77,0.8200000000000002,11.23180066225082,-inf,-inf
78,0.8300000000000002,11.193203551782705,-inf,-inf
79,0.8400000000000002,11.171795002299136,-inf,-inf
80,0.8500000000000002,11.14735483735129,-inf,-inf
81,0.8600000000000002,11.129494207819224,-inf,-inf
82,0.8700000000000002,11.088448748734281,-inf,-inf
83,0.8800000000000002,11.021277853695969,-inf,-inf
84,0.8900000000000002,10.950388682165114,-inf,-inf
85,0.9000000000000002,10.887677470519362,-inf,-inf
86,0.9100000000000003,10.786492759651594,-inf,-inf
87,0.9200000000000003,10.687544068405387,-inf,-inf
88,0.9300000000000002,10.514663977342195,-inf,-inf
89,0.9400000000000002,10.405052038489444,-inf,-inf
90,0.9500000000000002,10.201465064949446,-inf,-inf
91,0.9600000000000002,9.992696860514712,-inf,-inf
92,0.9700000000000002,9.908079722605777,-inf,-inf
93,0.9800000000000002,-inf,-inf,-inf
94,0.9900000000000002,-inf,-inf,-inf
95,1.0000000000000002,-inf,-inf,-inf
96,1.0100000000000002,-inf,-inf,-inf
97,1.0200000000000002,-inf,-inf,-inf
98,1.0300000000000002,-inf,-inf,-inf
99,1.0400000000000003,-inf,-inf,-inf
100,1.0500000000000003,-inf,-inf,-inf
101,1.0600000000000003,-inf,-inf,-inf
102,1.0700000000000003,-inf,-inf,-inf
103,1.0800000000000003,-inf,-inf,-inf
104,1.0900000000000003,-inf,-inf,-inf
105,1.1000000000000003,-inf,-inf,-inf
106,1.1100000000000003,-inf,-inf,-inf
107,1.1200000000000003,-inf,-inf,-inf
108,1.1300000000000003,-inf,-inf,-inf
109,1.1400000000000003,-inf,-inf,-inf
110,1.1500000000000004,-inf,-inf,-inf
111,1.1600000000000004,-inf,-inf,-inf
112,1.1700000000000002,-inf,-inf,-inf
113,1.1800000000000002,-inf,-inf,-inf
114,1.1900000000000002,-inf,-inf,-inf
115,1.2000000000000002,-inf,-inf,-inf
116,1.2100000000000002,-inf,-inf,-inf
117,1.2200000000000002,-inf,-inf,-inf
118,1.2300000000000002,-inf,-inf,-inf
119,1.2400000000000002,-inf,-inf,-inf
120,1.2500000000000002,-inf,-inf,-inf
121,1.2600000000000002,-inf,-inf,-inf
122,1.2700000000000002,-inf,-inf,-inf
123,1.2800000000000002,-inf,-inf,-inf
124,1.2900000000000003,-inf,-inf,-inf
125,1.3000000000000003,-inf,-inf,-inf
126,1.3100000000000003,-inf,-inf,-inf
127,1.3200000000000003,-inf,-inf,-inf
128,1.3300000000000003,-inf,-inf,-inf
129,1.3400000000000003,-inf,-inf,-inf
130,1.3500000000000003,-inf,-inf,-inf
131,1.3600000000000003,-inf,-inf,-inf
132,1.3700000000000003,-inf,-inf,-inf
133,1.3800000000000003,-inf,-inf,-inf
134,1.3900000000000003,-inf,-inf,-inf
135,1.4000000000000004,-inf,-inf,-inf
136,1.4100000000000004,-inf,-inf,-inf
137,1.4200000000000004,-inf,-inf,-inf
138,1.4300000000000004,-inf,-inf,-inf
139,1.4400000000000004,-inf,-inf,-inf
140,1.4500000000000004,-inf,-inf,-inf
141,1.4600000000000004,-inf,-inf,-inf
142,1.4700000000000004,-inf,-inf,-inf
143,1.4800000000000004,-inf,-inf,-inf
144,1.4900000000000004,-inf,-inf,-inf
