,Unnamed: 0,patch,mean_RA,mean_DEC,photoz,masses
363,363,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-070m045-080m040.fits,75.0238476391349,-42.419847329540076,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-070m045-080m040-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-070m045-080m040_stellar_mass.npy
580,580,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-100p035-110p040.fits,104.9317687012598,37.44012100283177,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-100p035-110p040-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-100p035-110p040_stellar_mass.npy
582,582,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-290p045-300p050.fits,290.1487575321931,49.5272225401426,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-290p045-300p050-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-290p045-300p050_stellar_mass.npy
37,37,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-150m010-160m005.fits,155.29001563369025,-7.125792296609099,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-150m010-160m005-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-150m010-160m005_stellar_mass.npy
600,600,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0/sweep-120p070-130p075.fits,125.00558352629645,72.42157624125922,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/north/sweep/9.0-photo-z/sweep-120p070-130p075-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/north/sweep-120p070-130p075_stellar_mass.npy
48,48,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-040m060-050m055.fits,44.9972446055381,-57.51577578476353,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-040m060-050m055-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-040m060-050m055_stellar_mass.npy
196,196,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-010p030-020p035.fits,15.181923268624725,31.950968186670966,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-010p030-020p035-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-010p030-020p035_stellar_mass.npy
285,285,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-340p025-350p030.fits,344.9159034970125,27.506254714224468,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-340p025-350p030-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-340p025-350p030_stellar_mass.npy
261,261,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-310m055-320m050.fits,314.76538499199717,-52.35554261855054,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-310m055-320m050-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-310m055-320m050_stellar_mass.npy
18,18,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0/sweep-040p015-050p020.fits,41.42027864757442,17.65729326528572,/global/project/projectdirs/cosmo/data/legacysurvey/dr9/south/sweep/9.0-photo-z/sweep-040p015-050p020-pz.fits,/global/cfs/cdirs/desi/users/rongpu/ls_dr9.0_photoz/stellar_mass/south/sweep-040p015-050p020_stellar_mass.npy
