,patch,mean_RA,mean_DEC,photoz,masses
19,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-160m010-170m005.fits,164.94049792393795,-7.400520166675102,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-160m010-170m005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-160m010-170m005_stellar_mass.npy
20,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-030m050-040m045.fits,34.99968270144316,-47.46718213461987,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-030m050-040m045-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-030m050-040m045_stellar_mass.npy
21,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-240p000-250p005.fits,245.2827732869342,2.466568974622737,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-240p000-250p005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-240p000-250p005_stellar_mass.npy
22,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-190p020-200p025.fits,195.0150926882479,22.509359214796238,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-190p020-200p025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-190p020-200p025_stellar_mass.npy
23,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-070m050-080m045.fits,74.93539058626257,-47.463248514102595,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-070m050-080m045-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-070m050-080m045_stellar_mass.npy
24,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-040m055-050m050.fits,44.972163827159164,-52.43832748610465,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-040m055-050m050-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-040m055-050m050_stellar_mass.npy
25,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-340m065-350m060.fits,345.0394527963116,-62.387870941115786,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-340m065-350m060-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-340m065-350m060_stellar_mass.npy
26,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-060m030-070m025.fits,64.91506171615498,-27.502498322681543,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-060m030-070m025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-060m030-070m025_stellar_mass.npy
27,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-050m040-060m035.fits,55.108964522171114,-37.512197313490674,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-050m040-060m035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-050m040-060m035_stellar_mass.npy
28,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-050p000-060p005.fits,52.338035061936246,1.0926043572940343,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-050p000-060p005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-050p000-060p005_stellar_mass.npy
29,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-070m015-080m010.fits,72.40025826002159,-10.887503942327756,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-070m015-080m010-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-070m015-080m010_stellar_mass.npy
30,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-310p020-320p025.fits,319.220758702245,20.11253197502808,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-310p020-320p025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-310p020-320p025_stellar_mass.npy
31,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-030m035-040m030.fits,35.09404649387054,-32.52320552638079,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-030m035-040m030-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-030m035-040m030_stellar_mass.npy
32,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-200m010-210m005.fits,204.89943422072696,-7.390394141418727,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-200m010-210m005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-200m010-210m005_stellar_mass.npy
33,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-300m045-310m040.fits,307.0860281101827,-42.65846849279655,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-300m045-310m040-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-300m045-310m040_stellar_mass.npy
34,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-260p020-270p025.fits,265.2142001863361,22.4626584941732,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-260p020-270p025-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-260p020-270p025_stellar_mass.npy
35,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-140p015-150p020.fits,145.08517842494564,17.478303995925415,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-140p015-150p020-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-140p015-150p020_stellar_mass.npy
36,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-170p010-180p015.fits,175.00144499006672,12.489412789061081,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-170p010-180p015-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-170p010-180p015_stellar_mass.npy
37,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-070m045-080m040.fits,74.96897271628077,-42.489921203238204,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-070m045-080m040-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-070m045-080m040_stellar_mass.npy
38,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-130m010-140m005.fits,134.9845497539243,-7.001907888437447,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-130m010-140m005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-130m010-140m005_stellar_mass.npy
39,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-030p030-040p035.fits,33.432792809263255,31.46033346659583,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-030p030-040p035-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-030p030-040p035_stellar_mass.npy
40,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-120m010-130m005.fits,126.74804045051765,-6.554771619130896,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-120m010-130m005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-120m010-130m005_stellar_mass.npy
41,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-120m005-130p000.fits,125.61306340580582,-2.3403287705664595,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-120m005-130p000-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-120m005-130p000_stellar_mass.npy
42,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-170p000-180p005.fits,175.0399988135452,2.518417127142362,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-170p000-180p005-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-170p000-180p005_stellar_mass.npy
43,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-040p005-050p010.fits,42.52397982430846,7.045010384568453,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-040p005-050p010-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-040p005-050p010_stellar_mass.npy
44,/global/cscratch1/sd/mjyb16/DR9/south/sweep/sweep-160m005-170p000.fits,165.05125862978403,-2.459622633237207,/global/cscratch1/sd/mjyb16/DR9/south/photo-z/sweep-160m005-170p000-pz.fits,/global/cscratch1/sd/mjyb16/DR9/south/stellar_mass/sweep-160m005-170p000_stellar_mass.npy
